CMP_id,Name,Cosmic_Identifier,Tissue,CancerType,
SIDM00539,ESO26,1503366,Esophagus,Esophageal Adenocarcinoma,
SIDM00538,ESO51,1503367,Esophagus,Esophageal Adenocarcinoma,
SIDM01041,FLO-1,1503361,Esophagus,Esophageal Adenocarcinoma,
SIDM00530,KYAE-1,1503368,Esophagus,Esophageal Adenocarcinoma,
SIDM00444,OACM5-1,1503363,Esophagus,Esophageal Adenocarcinoma,
SIDM00477,OE33,910549,Esophagus,Esophageal Adenocarcinoma,
SIDM00483,SK-GT-4,1503365,Esophagus,Esophageal Adenocarcinoma,
SIDM00956,COLO-680N,906817,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00278,EC-GI-10,753555,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00052,HCE-4,753559,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM01032,KYSE-140,753573,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM01031,KYSE-150,907317,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00551,KYSE-220,1240167,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM01029,KYSE-270,907319,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM01028,KYSE-410,753574,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM01027,KYSE-450,907320,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM01026,KYSE-510,907321,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM01025,KYSE-520,753575,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM01024,KYSE-70,753576,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00478,OE21,1298359,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00322,T-T,1299064,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00349,TE-10,753622,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00250,TE-4,1503371,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00347,TE-5,735784,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00326,TE-8,753623,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00325,TE-9,946353,Esophagus,Esophageal Squamous Cell Carcinoma,
SIDM00249,TE-15,753614,Esophagus,Esophageal Squamous Cell Carcinoma,
